,Event Date,Event Type,Restoration,Number of Customers Affected,Area Affected,States,Event Category,Region
4162,2023-01-25 03:30:00,Severe Weather,2023-01-25 13:00:00,60958,Arkansas: Texas: Louisiana: Mississippi:,Texas,Severe Weather,Southern
4163,2023-01-26 07:00:00,Vandalism,2023-01-26 14:46:00,0,Washington: King County;,Washington,Vandalism,West
4164,2023-01-28 04:00:00,Suspicious Activity,2023-01-28 05:00:00,0,Illinois: Franklin County;,Illinois,Vandalism,MidWest
4165,2023-01-29 08:19:00,System Operations,2023-01-29 11:07:00,0,Kentucky:,Kentucky,System Operations,Southern
4166,2023-01-30 10:30:00,Suspicious Activity,,,Minnesota:,Minnesota,Vandalism,MidWest
4167,2023-01-31 08:15:00,Severe Weather,2023-02-06 17:00:00,360000,"Texas: Dallas County, Anderson County, Bosque County, Collin County, Comanche County, Cooke County, Delta County, Denton County, Ellis County, Erath County, Fannin County, Freestone County, Hamilton County, Henderson County, Hill County, Hood County, Hopkins County, Hunt County, Jack County, Johnson County, Kaufman County, Lamar County, Navarro County, Palo Pinto County, Parker County, Rains County, Red River County, Rockwall County, Somervell County, Tarrant County, Van Zandt County, Wichita County, Wise County;",Texas,Severe Weather,Southern
4168,2023-02-01 05:00:00,Severe Weather,2023-02-04 22:39:00,173879,Texas: Travis County;,Texas,Severe Weather,Southern
4169,2023-02-02 22:07:00,Vandalism,2023-02-03 16:08:00,0,Colorado:,Colorado,Vandalism,West
4170,2023-02-02 11:00:00,Suspicious Activity,,0,Pennsylvania: Westmoreland County;,Pennsylvania,Vandalism,East
4171,2023-02-02 08:15:00,Severe Weather,2023-02-02 19:45:00,74426,Arkansas: Mississippi: Texas:,Arkansas,Severe Weather,Other
4171,2023-02-02 08:15:00,Severe Weather,2023-02-02 19:45:00,74426,Arkansas: Mississippi: Texas:,Mississippi,Severe Weather,Southern
4171,2023-02-02 08:15:00,Severe Weather,2023-02-02 19:45:00,74426,Arkansas: Mississippi: Texas:,Texas,Severe Weather,Southern
4172,2023-02-02 14:37:00,Suspicious Activity,2023-02-02 14:47:00,0,Maryland: Cecil County;,Maryland,Vandalism,Southern
4173,2023-02-03 16:00:00,Vandalism,2023-02-03 16:45:00,0,Oregon: Washington: Yakima County; Idaho: Utah: Wyoming:,Idaho,Vandalism,West
4173,2023-02-03 16:00:00,Vandalism,2023-02-03 16:45:00,0,Oregon: Washington: Yakima County; Idaho: Utah: Wyoming:,Oregon,Vandalism,West
4173,2023-02-03 16:00:00,Vandalism,2023-02-03 16:45:00,0,Oregon: Washington: Yakima County; Idaho: Utah: Wyoming:,Utah,Vandalism,West
4173,2023-02-03 16:00:00,Vandalism,2023-02-03 16:45:00,0,Oregon: Washington: Yakima County; Idaho: Utah: Wyoming:,Washington,Vandalism,West
4173,2023-02-03 16:00:00,Vandalism,2023-02-03 16:45:00,0,Oregon: Washington: Yakima County; Idaho: Utah: Wyoming:,Wyoming,Vandalism,West
4174,2023-02-04 11:14:00,Vandalism,2023-02-04 12:55:00,,Ohio: Gallia County;,Ohio,Vandalism,MidWest
4175,2023-02-06 17:06:00,System Operations,2023-02-06 17:31:00,0,Florida: Hillsborough County;,Florida,System Operations,Southern
4176,2023-02-06 10:00:00,Suspicious Activity,2023-02-06 10:02:00,0,Maryland:,Maryland,Vandalism,Southern
4177,2023-02-07 13:34:00,System Operations,2023-02-07 14:06:00,0,Wisconsin: La Crosse County;,Wisconsin,System Operations,MidWest
4178,2023-02-07 06:15:00,Suspicious Activity,2023-02-07 06:20:00,0,Illinois: DuPage County;,Illinois,Vandalism,MidWest
4179,2023-02-07 08:30:00,Suspicious Activity,,0,New York: Queens County;,New York,Vandalism,East
4180,2023-02-08 13:30:00,Suspicious Activity,2023-02-08 14:00:00,0,Pennsylvania: Lawrence County;,Pennsylvania,Vandalism,East
4181,2023-02-11 11:17:00,Transmission Interruption,2023-02-11 18:20:00,0,Texas: Taylor County;,Texas,Transmission Interruption,Southern
4182,2023-02-13 21:50:00,Suspicious Activity,2023-02-14 02:24:00,0,California: San Diego County;,California,Vandalism,West
4183,2023-02-13 05:27:00,Vandalism,2023-02-13 15:00:00,0,Wisconsin: Chippewa County;,Wisconsin,Vandalism,MidWest
4184,2023-02-15 14:25:00,Suspicious Activity,2023-02-15 14:30:00,0,Florida: Clay County;,Florida,Vandalism,Southern
4185,2023-02-18 00:00:00,Suspicious Activity,2023-02-18 00:05:00,0,Oklahoma: Kay County;,Oklahoma,Vandalism,Southern
4186,2023-02-19 08:18:00,Vandalism,2023-02-19 12:15:00,0,California: Riverside County;,California,Vandalism,West
4187,2023-02-21 09:45:00,Cyber Event,,0,Texas: Cameron County;,Texas,Other,Southern
4188,2023-02-21 05:27:00,Transmission Interruption,2023-02-21 06:41:00,0,Florida: Hillsborough County;,Florida,Transmission Interruption,Southern
4189,2023-02-21 13:14:00,Actual Physical Attack/Vandalism,2023-02-21 14:36:00,2547,Florida: Orange County;,Florida,Vandalism,Southern
4190,2023-02-22 18:41:00,Severe Weather,2023-02-25 16:12:00,261043,"Michigan: Van Buren County, Kalamazoo County, St. Joseph County, Calhoun County, Branch County, Hillsdale County, Jackson County, Washtenaw County, Monroe County, Lenawee County, Ingham County, Barry County, Allegan County, Ottawa County, Eaton County, Ingham County, Shiawassee County, Clinton County;",Michigan,Severe Weather,MidWest
4191,2023-02-22 18:30:00,Severe Weather,,623358,Michigan:,Michigan,Severe Weather,MidWest
4192,2023-02-22 16:00:00,Suspicious Activity,2023-02-22 16:01:00,0,South Dakota:,South Dakota,Vandalism,MidWest
4193,2023-02-23 04:30:00,Severe Weather,2023-02-23 13:00:00,57000,"Wisconsin: Kenosha County, Racine County, Milwaukee County, Walworth County, Jefferson County, Waukesha County; Michigan:",Michigan,Severe Weather,MidWest
4193,2023-02-23 04:30:00,Severe Weather,2023-02-23 13:00:00,57000,"Wisconsin: Kenosha County, Racine County, Milwaukee County, Walworth County, Jefferson County, Waukesha County; Michigan:",Wisconsin,Severe Weather,MidWest
4194,2023-02-23 08:50:00,System Operations,2023-02-23 12:38:00,0,Colorado: Larimer County;,Colorado,System Operations,West
4195,2023-02-24 12:29:00,Suspicious Activity,2023-02-24 12:45:00,0,Florida: Pasco County;,Florida,Vandalism,Southern
4196,2023-02-25 00:08:00,Severe Weather,2023-02-26 18:08:00,153555,California: Los Angeles County;,California,Severe Weather,West
4197,2023-02-26 14:08:00,Actual Physical Attack/Vandalism,2023-02-26 15:13:00,,North Carolina:,North Carolina,Vandalism,Southern
4198,2023-02-27 13:25:00,Severe Weather,2023-02-27 23:59:00,76000,"Michigan: Newaygo County, Oceana County, Ionia County, Montcalm County, Jackson County, Van Buren County, Washtenaw County, Hillsdale County, Lenawee County;",Michigan,Severe Weather,MidWest
